,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21363,7,4,0,1,2,6,3,8,5,0.6118362262210584,1.7382168864102605,46.53487150106224,-1.145177873345821e-15,7.027711745877241e-14,[OC-17]  Jingulu (Mirndi),oceania,real,2
21157,5,0,8,3,4,7,1,2,6,0.6118362262210584,1.7382168864102605,46.53487150106224,-1.145177873345821e-15,7.061018436615996e-14,Catalan,europe,real,2
21261,3,2,4,5,0,6,7,8,1,0.6118362262210584,1.7382168864102605,46.53487150106224,-1.145177873345821e-15,7.083222897108499e-14,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21193,1,2,5,7,3,0,6,4,8,0.6118362262210582,1.7382168864102605,46.53487150106224,-9.16142298676657e-16,7.016609515630989e-14,Ainu (Ainu),asia,real,2
21210,5,2,8,4,7,0,6,3,1,0.6118362262210582,1.738216886410261,46.53487150106224,-9.16142298676657e-16,7.049916206369744e-14,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21145,0,1,2,3,4,5,6,7,8,0.6118362262210579,1.7382168864102607,46.53487150106224,-6.871067240074926e-16,7.083222897108499e-14,simulated,simulated,simulated,2
21164,6,2,3,1,5,7,4,8,0,0.6118362262210579,1.7382168864102605,46.53487150106224,-6.871067240074926e-16,7.049916206369744e-14,Finnish (Uralic),europe,real,2
21220,4,0,2,1,3,6,8,5,7,0.6118362262210579,1.7382168864102607,46.53487150106224,-6.871067240074926e-16,7.083222897108499e-14,Korean (Koreanic),asia,real,2
21326,5,2,4,6,3,7,8,0,1,0.6118362262210579,1.7382168864102605,46.53487150106224,-6.871067240074926e-16,7.083222897108499e-14,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21349,5,6,1,4,3,7,8,0,2,0.6118362262210579,1.7382168864102603,46.53487150106224,-6.871067240074926e-16,7.083222897108499e-14,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21306,6,0,1,5,7,2,3,8,4,0.6118362262210579,1.7382168864102603,46.53487150106224,-6.871067240074926e-16,7.083222897108499e-14,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21280,4,0,6,5,2,7,8,1,3,0.6118362262210579,1.7382168864102605,46.53487150106224,-6.871067240074926e-16,7.083222897108499e-14,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21272,4,8,3,5,1,2,6,7,0,0.6118362262210579,1.7382168864102605,46.53487150106224,-6.871067240074926e-16,7.061018436615996e-14,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21269,4,7,8,1,5,3,2,6,0,0.6118362262210579,1.7382168864102605,46.53487150106224,-6.871067240074926e-16,7.061018436615996e-14,"Arapaho (Algic, Algonquian) ",americas,real,2
21264,5,0,4,1,8,7,3,6,2,0.6118362262210579,1.7382168864102605,46.53487150106224,-6.871067240074926e-16,7.061018436615996e-14,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21343,3,5,4,8,2,1,7,6,0,0.6118362262210579,1.7382168864102603,46.53487150106224,-6.871067240074926e-16,7.061018436615996e-14,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21303,8,5,6,0,1,4,7,2,3,0.6118362262210577,1.7382168864102603,46.53487150106224,-4.580711493383285e-16,7.049916206369744e-14,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21215,0,2,3,7,8,1,4,6,5,0.6118362262210577,1.7382168864102605,46.53487150106224,-4.580711493383285e-16,7.083222897108499e-14,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21250,7,8,4,0,3,2,6,1,5,0.6118362262210577,1.7382168864102603,46.53487150106224,-4.580711493383285e-16,7.083222897108499e-14,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
