,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21339,8,7,2,0,6,5,1,3,4,0.7399257798804986,1.9603638207135425,51.18461327005257,-1.6658351571662552e-15,3.3306690738754696e-16,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21274,8,1,0,4,5,7,6,3,2,0.7399257798804981,1.9603638207135428,51.18461327005257,-9.717371750136489e-16,3.3306690738754696e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21261,8,5,0,3,2,7,6,1,4,0.7399257798804981,1.9603638207135425,51.18461327005257,-1.1105567714441703e-15,3.3306690738754696e-16,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21257,8,2,3,7,1,6,4,5,0,0.7399257798804981,1.9603638207135425,51.18461327005257,-1.1105567714441703e-15,3.3306690738754696e-16,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21265,7,5,1,0,8,3,4,2,6,0.7399257798804981,1.9603638207135428,51.18461327005257,-9.717371750136489e-16,3.3306690738754696e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21253,5,3,8,0,4,1,7,6,2,0.7399257798804981,1.9603638207135428,51.18461327005257,-9.717371750136489e-16,3.3306690738754696e-16,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21218,0,1,8,4,5,6,2,3,7,0.7399257798804981,1.9603638207135428,51.18461327005257,-9.717371750136489e-16,3.3306690738754696e-16,Ainu (Ainu),asia,real,2
21346,5,7,8,2,4,0,1,3,6,0.7399257798804981,1.9603638207135425,51.18461327005257,-1.1105567714441703e-15,1.1102230246251565e-16,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21172,8,0,4,2,1,5,6,7,3,0.7399257798804981,1.9603638207135425,51.18461327005257,-1.1105567714441703e-15,3.3306690738754696e-16,Turkish (Turkic),europe,real,2
21145,0,1,2,3,4,5,6,7,8,0.7399257798804979,1.9603638207135425,51.18461327005257,-8.329175785831276e-16,3.3306690738754696e-16,simulated,simulated,simulated,2
21168,2,6,1,4,8,0,7,5,3,0.7399257798804979,1.9603638207135423,51.18461327005257,-9.717371750136489e-16,3.3306690738754696e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21328,4,1,6,0,8,3,5,2,7,0.7399257798804979,1.9603638207135423,51.18461327005257,-9.717371750136489e-16,3.3306690738754696e-16,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21324,1,2,8,4,7,0,5,3,6,0.7399257798804979,1.9603638207135423,51.18461327005257,-9.717371750136489e-16,3.3306690738754696e-16,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21192,0,7,1,4,8,3,5,6,2,0.7399257798804979,1.9603638207135423,51.18461327005257,-9.717371750136489e-16,3.3306690738754696e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21356,4,1,8,7,2,5,3,6,0,0.7399257798804979,1.9603638207135425,51.18461327005257,-8.329175785831276e-16,1.1102230246251565e-16,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
