,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21235,5,8,6,7,1,0,3,2,4,0.9710729471998045,1.7530612423846796,100.0,-5.684341886080802e-16,2.220446049250313e-16,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21300,2,1,3,4,8,6,7,5,0,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,3.3306690738754696e-16,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21339,2,1,0,3,6,5,7,8,4,0.9710729471998041,1.7530612423846799,27.94457646255039,-7.62805695100435e-16,-2.220446049250313e-16,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21231,5,0,7,8,6,2,4,3,1,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,3.3306690738754696e-16,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21232,2,5,4,1,0,6,7,8,3,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,-2.220446049250313e-16,"Burushaski, Yasin (Burushaski)",asia,real,2
21242,7,5,4,8,3,2,1,6,0,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21213,5,2,0,1,6,8,7,3,4,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21209,5,8,1,6,7,0,2,4,3,0.9710729471998041,1.7530612423846799,27.94457646255039,-7.62805695100435e-16,3.3306690738754696e-16,Tuvinian (Turkic),asia,real,2
21204,1,5,3,0,8,6,4,7,2,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,Yugh (Yeniseian),asia,real,2
21202,6,7,0,3,5,4,2,1,8,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,0.0,Korean (Koreanic),asia,real,2
21196,7,8,1,5,0,2,6,3,4,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21267,5,2,3,8,0,1,7,6,4,0.9710729471998041,1.7530612423846799,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21185,7,2,1,8,5,4,3,0,6,0.9710729471998041,1.7530612423846799,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21181,5,6,7,2,1,4,3,0,8,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,3.3306690738754696e-16,"German (Indo-European, Germanic)",europe,real,2
21145,0,1,2,3,4,5,6,7,8,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,0.0,simulated,simulated,simulated,2
21311,7,3,1,0,5,2,6,8,4,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,-2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21221,4,8,5,0,1,7,2,3,6,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21361,0,2,8,5,7,3,6,1,4,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21356,6,4,2,8,5,7,0,1,3,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21355,5,2,6,8,0,3,4,1,7,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,3.3306690738754696e-16,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21360,5,2,6,0,3,7,4,1,8,0.9710729471998041,1.7530612423846796,27.94457646255039,-7.62805695100435e-16,0.0,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21347,4,5,1,6,3,2,8,7,0,0.9710729471998039,1.7530612423846794,27.94457646255039,-5.085371300669566e-16,-2.220446049250313e-16,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21252,5,7,0,6,8,2,1,4,3,0.9710729471998039,1.7530612423846794,27.94457646255039,-5.085371300669566e-16,2.220446049250313e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21215,1,6,0,4,8,3,5,7,2,0.9710729471998039,1.7530612423846794,27.94457646255039,-5.085371300669566e-16,2.220446049250313e-16,Ainu (Ainu),asia,real,2
21178,6,2,4,7,1,8,0,3,5,0.9710729471998039,1.7530612423846794,27.94457646255039,-5.085371300669566e-16,-2.220446049250313e-16,Turkish (Turkic),europe,real,2
21157,0,5,7,2,1,3,4,8,6,0.9710729471998039,1.7530612423846799,27.94457646255039,-5.085371300669566e-16,0.0,Finnish (Uralic),europe,real,2
21211,7,2,3,6,0,8,5,4,1,0.9710729471998039,1.7530612423846794,27.94457646255039,-5.085371300669566e-16,2.220446049250313e-16,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21153,3,2,7,5,1,6,4,8,0,0.9710729471998039,1.7530612423846794,27.94457646255039,-5.085371300669566e-16,0.0,Catalan,europe,real,2
21229,2,1,7,3,5,4,6,8,0,0.9710729471998039,1.7530612423846794,27.94457646255039,-5.085371300669566e-16,-2.220446049250313e-16,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
