,place,goal,source,prior_spec,mean_gNID,mean_epsilon,mu
0,0,-0.789,1.316,place_goal_source,0.21965034,0.045284181,0.102222222
0,0,-0.789,1.316,place_goal_source,0.232255196,0.040979108,0.154444444
0,0,-0.789,1.316,place_goal_source,0.240315396,0.035508453,0.206666667
0,0,-0.789,1.316,place_goal_source,0.246760975,0.030039372,0.258888889
0,0,-0.789,1.316,place_goal_source,0.251581,0.024923288,0.311111111
0,0,-0.789,1.316,place_goal_source,0.255195562,0.020312016,0.363333333
0,0,-0.789,1.316,place_goal_source,0.257091838,0.016224091,0.415555556
0,0,-0.789,1.316,place_goal_source,0.259606775,0.012722025,0.467777778
0,0,-0.789,1.316,place_goal_source,0.260837282,0.009749216,0.52
0,0,-0.789,1.316,place_goal_source,0.262059211,0.007280857,0.572222222
0,0,-0.789,1.316,place_goal_source,0.263602846,0.005271258,0.624444444
0,0,-0.789,1.316,place_goal_source,0.271186802,0.003690213,0.676666667
0,0,-0.789,1.316,place_goal_source,0.307587323,0.002587482,0.728888889
0,0,-0.789,1.316,place_goal_source,0.523680753,0.002941128,0.781111111
0,0,-0.789,1.316,place_goal_source,0.83389274,0.005540986,0.833333333
0,0,-0.789,1.316,place_goal_source,1,0.010065476,0.885555556
0,0,-0.789,1.316,place_goal_source,1,0.012880237,0.937777778
0,0,-0.789,1.316,place_goal_source,1,0.013936957,0.99
0,0,-0.789,1.316,place_goal_source,1,0.013936957,0.99
