,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21267,5,7,2,1,4,3,0,6,8,3.1726256632502725e-05,1.75306124238468,100.0,0.017498886167214078,1.0000000000000004,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21182,0,7,5,2,1,6,4,3,8,3.1726256632502725e-05,1.7530612423846796,100.0,0.017498886167214074,1.0000000000000004,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21291,2,0,8,4,7,1,6,3,5,3.1726256632502725e-05,1.7530612423846796,100.0,0.017498886167214074,1.0000000000000004,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21145,0,1,2,3,4,5,6,7,8,3.1726256632502725e-05,1.7530612423846796,100.0,0.017498886167214074,1.0000000000000004,simulated,simulated,simulated,2
21262,8,5,0,4,6,3,2,7,1,3.1726256632502725e-05,1.7530612423846796,100.0,0.017498886167214074,1.0,"Arapaho (Algic, Algonquian) ",americas,real,2
21328,8,7,0,4,3,5,2,1,6,3.1726256632502725e-05,1.7530612423846799,100.0,0.017498886167214078,0.9999999999999997,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21349,6,8,7,3,1,2,5,0,4,3.1726256632502725e-05,1.7530612423846799,100.0,0.017498886167214078,0.9999999999999997,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21275,2,7,6,8,5,0,4,1,3,3.1726256632502725e-05,1.7530612423846799,100.0,0.017498886167214078,1.0000000000000004,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21254,1,2,7,3,4,6,5,0,8,3.1726256632502725e-05,1.7530612423846796,100.0,0.017498886167214074,1.0,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21206,4,0,5,1,2,6,3,8,7,3.1726256632502725e-05,1.7530612423846799,100.0,0.017498886167214078,0.9999999999999997,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21213,3,6,2,5,1,0,7,4,8,3.1726256632502725e-05,1.7530612423846796,100.0,0.017498886167214074,1.0000000000000004,Tuvinian (Turkic),asia,real,2
21269,6,0,1,8,5,4,3,2,7,3.1726256632502725e-05,1.7530612423846796,100.0,0.017498886167214074,1.0000000000000007,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21228,3,1,4,5,7,8,6,2,0,3.172625663228068e-05,1.7530612423846794,100.0,0.017498886167214293,0.9999999999999997,Ainu (Ainu),asia,real,2
21226,5,3,2,0,6,8,1,7,4,3.172625663228068e-05,1.7530612423846794,100.0,0.017498886167214293,1.0,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21229,4,0,8,6,2,3,1,7,5,3.172625663228068e-05,1.7530612423846796,100.0,0.017498886167214296,1.0,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21155,4,7,3,5,8,0,1,2,6,3.172625663228068e-05,1.7530612423846794,100.0,0.017498886167214293,1.0,Basque,europe,real,2
21363,1,7,4,2,8,5,6,0,3,3.172625663228068e-05,1.7530612423846794,100.0,0.017498886167214293,1.0000000000000007,[OC-17]  Jingulu (Mirndi),oceania,real,2
21283,5,4,0,7,6,8,1,3,2,3.172625663228068e-05,1.7530612423846794,100.0,0.017498886167214293,0.9999999999999997,"Ngizim (Afro-Asiatic, Chadic)",africa,real,2
21159,2,0,1,3,7,8,6,5,4,3.172625663228068e-05,1.7530612423846796,100.0,0.017498886167214296,0.9999999999999997,Finnish (Uralic),europe,real,2
21320,6,1,7,4,2,5,3,8,0,3.172625663228068e-05,1.7530612423846799,100.0,0.0174988861672143,1.0,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21220,0,3,4,7,1,2,5,6,8,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,1.0000000000000004,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21215,1,8,5,0,7,6,3,4,2,3.1726256632058636e-05,1.7530612423846799,100.0,0.01749888616721452,0.9999999999999997,Korean (Koreanic),asia,real,2
21293,0,7,4,1,3,2,6,5,8,3.1726256632058636e-05,1.75306124238468,100.0,0.01749888616721452,1.0000000000000004,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21335,1,3,5,8,6,7,0,2,4,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,1.0000000000000007,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21336,0,6,5,3,1,7,4,8,2,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,0.9999999999999997,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21337,4,0,3,8,5,7,1,6,2,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,1.0000000000000004,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21196,0,8,3,1,5,2,4,6,7,3.1726256632058636e-05,1.7530612423846799,100.0,0.01749888616721452,0.9999999999999997,Yugh (Yeniseian),asia,real,2
21341,4,5,6,7,1,0,2,8,3,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,0.9999999999999997,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21222,4,8,7,5,0,2,1,3,6,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,0.9999999999999997,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21165,6,1,2,3,7,8,4,0,5,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,0.9999999999999997,"Macedonian (Indo-European, Slavic)",europe,real,2
21361,3,5,1,8,2,4,7,0,6,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,1.0000000000000004,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21170,5,7,8,1,0,4,6,2,3,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,1.0000000000000004,Turkish (Turkic),europe,real,2
21318,6,3,7,2,0,1,4,8,5,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,0.9999999999999997,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21263,6,5,1,2,4,3,7,0,8,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,1.0000000000000004,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21168,3,2,0,5,1,7,6,8,4,3.1726256632058636e-05,1.7530612423846796,100.0,0.017498886167214518,0.9999999999999997,Catalan,europe,real,2
21246,3,0,6,7,4,5,8,1,2,3.172625663183659e-05,1.7530612423846796,100.0,0.01749888616721474,1.0,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21266,5,7,8,0,2,4,1,6,3,3.172625663183659e-05,1.7530612423846794,100.0,0.017498886167214737,1.0000000000000004,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21208,3,0,8,4,6,1,2,5,7,3.172625663183659e-05,1.7530612423846794,100.0,0.017498886167214737,1.0000000000000004,"Burushaski, Yasin (Burushaski)",asia,real,2
21249,2,7,8,1,5,6,4,3,0,3.172625663183659e-05,1.7530612423846794,100.0,0.017498886167214737,1.0000000000000007,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21202,2,5,8,1,7,4,0,3,6,3.172625663183659e-05,1.7530612423846794,100.0,0.017498886167214737,1.0000000000000007,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21272,3,2,8,4,7,6,0,5,1,3.172625663183659e-05,1.7530612423846794,100.0,0.017498886167214737,1.0000000000000004,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21181,0,1,3,2,7,6,8,4,5,3.172625663183659e-05,1.7530612423846794,100.0,0.017498886167214737,1.0,"German (Indo-European, Germanic)",europe,real,2
21224,7,8,2,5,4,0,6,3,1,3.172625663161455e-05,1.7530612423846796,100.0,0.017498886167214962,0.9999999999999997,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21355,4,8,2,5,1,7,6,3,0,3.172625663161455e-05,1.7530612423846796,100.0,0.017498886167214962,0.9999999999999997,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21357,8,5,4,7,3,6,2,1,0,3.172625663161455e-05,1.7530612423846796,100.0,0.017498886167214962,0.9999999999999997,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
21359,8,3,7,5,6,1,2,4,0,3.172625663161455e-05,1.7530612423846796,100.0,0.017498886167214962,1.0,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21340,8,3,5,7,1,6,4,0,2,3.172625663161455e-05,1.7530612423846799,100.0,0.017498886167214966,0.9999999999999997,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21245,6,2,1,4,7,8,0,3,5,3.17262566313925e-05,1.7530612423846794,100.0,0.01749888616721518,0.9999999999999997,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21324,7,3,5,0,4,8,6,1,2,3.17262566313925e-05,1.7530612423846794,100.0,0.01749888616721518,0.9999999999999997,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21248,4,7,8,0,1,6,3,5,2,3.17262566313925e-05,1.7530612423846796,100.0,0.017498886167215184,1.0000000000000007,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21128,0,1,2,3,4,5,6,7,7,3.1398951517491724e-05,1.7315367249259905,100.0,0.017283968297742192,1.0,simulated,simulated,simulated,3
21353,6,4,1,5,0,7,2,3,3,3.1398951517491724e-05,1.7315367249259905,100.0,0.017283968297742192,1.0000000000000004,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,real,3
21119,0,1,2,3,4,2,5,6,7,3.1234173763827755e-05,1.7011378967657471,100.0,0.016980144793893422,1.0000000000000004,simulated,simulated,simulated,3
