,gamma,informativity,complexity,J
0,100.0,-2.220446049250313e-16,-2.220446049250313e-16,2.19824158875781e-14
1,99.6932552694414,2.220446049250313e-16,2.220446049250313e-16,-2.191430487506838e-14
2,99.3874514621801,4.440892098500626e-16,0.0,-4.413689478885101e-14
3,99.08258569198337,0.0,0.0,0.0
4,98.77865508147205,-8.881784197001252e-16,0.0,8.773306977036559e-14
5,98.47565676209298,-2.220446049250313e-16,-2.220446049250313e-16,2.1643943695546893e-14
6,98.17358787409228,2.220446049250313e-16,2.220446049250313e-16,-2.1576870928650633e-14
7,97.87244556648822,-6.661338147750939e-16,2.220446049250313e-16,6.541819013149756e-14
8,97.5722269970442,-2.220446049250313e-16,-2.220446049250313e-16,2.144334199028912e-14
9,97.27292933224213,0.0,0.0,0.0
10,96.97454974725548,-4.440892098500626e-16,-4.440892098500626e-16,4.262126196297421e-14
11,96.67708542592284,-4.440892098500626e-16,0.0,4.293325047740508e-14
12,96.38053356072123,-2.220446049250313e-16,2.220446049250313e-16,2.16228221018791e-14
13,96.08489135273946,-4.440892098500626e-16,0.0,4.267026347936718e-14
14,95.79015601165202,0.0,0.0,0.0
15,95.49632475569241,-2.220446049250313e-16,2.220446049250313e-16,2.142648830709524e-14
16,95.20339481162719,-8.881784197001252e-16,0.0,8.455760075387814e-14
17,94.91136341472966,4.440892098500626e-16,0.0,-4.214911238463944e-14
18,94.62022780875365,-6.661338147750939e-16,-2.220446049250313e-16,6.280768870020846e-14
19,94.3299852459078,-4.440892098500626e-16,0.0,4.189092861302326e-14
20,94.04063298682928,-2.220446049250313e-16,-2.220446049250313e-16,2.0659170593535343e-14
21,93.75216830055822,-6.661338147750939e-16,-2.220446049250313e-16,6.222944490856246e-14
22,93.46458846451188,-4.440892098500626e-16,0.0,4.1506615240166357e-14
23,93.17789076445871,0.0,-8.881784197001252e-16,-8.881784197001252e-16
24,92.89207249449312,4.440892098500626e-16,0.0,-4.1252367075414185e-14
25,92.60713095700959,-6.661338147750939e-16,-2.220446049250313e-16,6.146669681484446e-14
26,92.32306346267745,-6.661338147750939e-16,-2.220446049250313e-16,6.127746985119139e-14
27,92.03986733041546,-6.661338147750939e-16,-2.220446049250313e-16,6.108882333127816e-14
28,91.75753988736628,2.220446049250313e-16,2.220446049250313e-16,-2.0152222088258016e-14
29,91.47607846887162,-4.440892098500626e-16,0.0,4.0623539407423523e-14
30,91.1954804184467,-4.440892098500626e-16,4.440892098500626e-16,4.094301805077492e-14
31,90.91574308775552,0.0,4.440892098500626e-16,4.440892098500626e-16
32,90.63686383658568,0.0,-4.440892098500626e-16,-4.440892098500626e-16
33,90.35884003282338,0.0,0.0,0.0
34,90.08166905242886,-4.440892098500626e-16,0.0,4.0004297231467973e-14
35,89.80534827941129,0.0,-4.440892098500626e-16,-4.440892098500626e-16
36,89.5298751058044,0.0,-4.440892098500626e-16,-4.440892098500626e-16
37,89.2552469316417,-6.661338147750939e-16,-6.661338147750939e-16,5.878980431249238e-14
38,88.9814611649318,0.0,0.0,0.0
39,88.70851522163437,-4.440892098500626e-16,4.440892098500626e-16,3.983858364159792e-14
40,88.43640652563523,-2.220446049250313e-16,2.220446049250313e-16,1.9858871552899168e-14
41,88.16513250872246,-6.661338147750939e-16,-2.220446049250313e-16,5.850773144326191e-14
42,87.894690610562,-8.881784197001252e-16,-4.440892098500626e-16,7.762207819667033e-14
43,87.6250782786733,-4.440892098500626e-16,-4.440892098500626e-16,3.846926256597585e-14
44,87.35629296840567,-4.440892098500626e-16,0.0,3.8793987119769854e-14
45,87.08833214291374,2.220446049250313e-16,6.661338147750939e-16,-1.8671360489478093e-14
46,86.82119327313399,-2.220446049250313e-16,2.220446049250313e-16,1.9500222164377853e-14
47,86.5548738377606,-4.440892098500626e-16,4.440892098500626e-16,3.888217474113302e-14
48,86.28937132322162,0.0,0.0,0.0
49,86.02468322365553,-1.3322676295501878e-15,0.0,1.1460790080118536e-13
50,85.76080704088723,-1.1102230246251565e-15,-2.220446049250313e-16,9.499157798230321e-14
51,85.49774028440478,-8.881784197001252e-16,0.0,7.593724785373438e-14
52,85.23548047133573,0.0,-4.440892098500626e-16,-4.440892098500626e-16
53,84.9740251264236,-2.220446049250313e-16,-2.220446049250313e-16,1.864597923316138e-14
54,84.7133717820048,-2.220446049250313e-16,6.661338147750939e-16,1.9476280983977645e-14
55,84.45351797798497,-8.881784197001252e-16,-4.440892098500626e-16,7.456570292595275e-14
56,84.19446126181614,0.0,4.440892098500626e-16,4.440892098500626e-16
57,83.93619918847337,-4.440892098500626e-16,-4.440892098500626e-16,3.683107116557654e-14
58,83.67872932043154,-2.220446049250313e-16,2.220446049250313e-16,1.8802454997508887e-14
59,83.42204922764277,-4.440892098500626e-16,-4.440892098500626e-16,3.660274271572684e-14
60,83.16615648751296,2.220446049250313e-16,-2.220446049250313e-16,-1.8688640965328177e-14
61,82.9110486848794,-6.661338147750939e-16,-2.220446049250313e-16,5.500780854253722e-14
62,82.6567234119877,2.220446049250313e-16,2.220446049250313e-16,-1.8131434889487363e-14
63,82.40317826846903,-6.661338147750939e-16,2.220446049250313e-16,5.5113588094492425e-14
64,82.15041086131772,-6.661338147750939e-16,-1.1102230246251565e-15,5.361294354776573e-14
65,81.8984188048684,-2.220446049250313e-16,-2.220446049250313e-16,1.7963057442586727e-14
66,81.64719972077364,-2.220446049250313e-16,2.220446049250313e-16,1.835136481015934e-14
67,81.39675123798155,-2.220446049250313e-16,2.220446049250313e-16,1.8295754075743697e-14
68,81.14707099271315,0.0,4.440892098500626e-16,4.440892098500626e-16
69,80.89815662844039,-2.220446049250313e-16,6.661338147750939e-16,1.8629133042500443e-14
70,80.6500057958636,-4.440892098500626e-16,0.0,3.581579734828804e-14
71,80.40261615288959,-1.1102230246251565e-15,-2.220446049250313e-16,8.904279108811152e-14
72,80.15598536460938,-2.220446049250313e-16,-2.220446049250313e-16,1.757615949773625e-14
73,79.91011110327611,0.0,0.0,0.0
74,79.66499104828333,0.0,0.0,0.0
75,79.42062288614274,-6.661338147750939e-16,2.220446049250313e-16,5.3126807099885426e-14
76,79.17700431046268,4.440892098500626e-16,4.440892098500626e-16,-3.471756407267831e-14
77,78.93413302192621,-2.220446049250313e-16,2.220446049250313e-16,1.7748942986878505e-14
78,78.69200672826933,-8.881784197001252e-16,0.0,6.989254217894588e-14
79,78.45062314425958,-2.220446049250313e-16,6.661338147750939e-16,1.808567143696473e-14
80,78.20997999167419,-2.220446049250313e-16,2.220446049250313e-16,1.758814871337093e-14
81,77.97007499927878,-6.661338147750939e-16,2.220446049250313e-16,5.216054810249478e-14
82,77.73090590280594,0.0,-4.440892098500626e-16,-4.440892098500626e-16
83,77.49247044493362,-8.881784197001252e-16,-4.440892098500626e-16,6.838305072858974e-14
84,77.25476637526414,-6.661338147750939e-16,-2.220446049250313e-16,5.123996763018833e-14
85,77.01779145030267,-4.440892098500626e-16,0.0,3.420277014956182e-14
86,76.78154343343624,-6.661338147750939e-16,2.220446049250313e-16,5.136882703655948e-14
87,76.54602009491265,-1.5543122344752192e-15,-2.220446049250313e-16,1.187543709289837e-13
88,76.31121921181918,-2.220446049250313e-16,2.220446049250313e-16,1.716653912616088e-14
