,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,r patterns,theta patterns,consistency_score
0,4,5,1,3,6,7,0,8,2,0.6217436128175666,1.7530612423846796,52.136846965088885,-9.539892494172468e-16,-2.220446049250313e-16,"Catalan (Indo-European, Romance)",europe,1.0,1.0,2.0
1,3,1,1,0,2,2,4,5,5,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.2221221265872333,Estonian (Uralic),europe,1.0,1.0,2.0
2,3,0,0,2,4,4,1,5,5,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.22212212658723307,"Bulgarian (Indo-European, Slavic)",europe,1.0,1.0,2.0
3,1,5,5,2,3,3,4,0,0,0.5512172984618939,1.5444138731623176,4.134385231454571,0.03843632677104106,0.22212212658723363,"Norwegian (Indo-European, Germanic)",europe,1.0,1.0,2.0
4,0,5,5,1,2,2,4,3,3,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.22212212658723363,"Latvian (Indo-European, Baltic)",europe,1.0,1.0,2.0
5,2,0,0,1,5,5,3,4,4,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.2221221265872334,"Sorbian, Lower (Indo-European, Slavic)",europe,1.0,1.0,2.0
6,2,3,4,8,5,1,0,7,6,0.6217436128175662,1.7530612423846796,52.86262995968926,-4.032391519123788e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,1.0,1.0,2.0
7,0,1,1,4,2,2,5,3,3,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.22212212658723318,Hungarian (Uralic),europe,1.0,1.0,2.0
8,2,3,3,0,1,1,5,4,4,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.22212212658723285,"Swedish (Indo-European, Germanic)",europe,1.0,1.0,2.0
9,1,2,2,4,0,0,5,3,3,0.5512172984618946,1.5444138731623183,4.134385231454571,0.03843632677104047,0.22212212658723318,"Romani, Moldovan (Indo-European, Indo-Iranian)",europe,1.0,1.0,2.0
10,5,2,2,0,1,1,4,3,3,0.5512172984618944,1.5444138731623178,4.134385231454571,0.03843632677104057,0.22212212658723296,"Low German (Indo-European, Germanic)",europe,1.0,1.0,2.0
11,0,1,1,2,4,4,3,5,5,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.22212212658723307,"Russian (Indo-European, Slavic)",europe,1.0,1.0,2.0
12,4,1,3,5,2,0,4,1,3,0.4786738428884054,1.4454915203734355,3.4862744604083575,0.09564275203701052,0.43804998958953734,"Saami, Skolt (Uralic)",europe,1.0,1.0,2.0
13,4,5,6,7,1,0,2,8,3,0.6217436128175666,1.7530612423846796,52.136846965088885,-9.539892494172468e-16,-2.220446049250313e-16,Finnish (Uralic),europe,1.0,1.0,2.0
14,4,0,5,4,0,5,3,2,1,0.49305718635109774,1.202636775950125,3.584013028435441,0.011072418917791283,0.14511635752911656,"French (Indo-European, Romance)",europe,1.0,1.0,2.0
15,2,0,3,2,0,3,4,1,5,0.4930571863510975,1.202636775950125,3.584013028435441,0.011072418917791468,0.14511635752911656,"Scots-Gaelic (Indo-European, Celtic)",europe,1.0,1.0,2.0
16,2,0,0,3,4,4,1,5,5,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.2221221265872333,"Slavomolisano (Indo-European, Slavic)",europe,1.0,1.0,2.0
17,0,5,3,0,5,3,1,4,2,0.4930571863510973,1.202636775950125,3.584013028435441,0.011072418917791716,0.14511635752911656,"Irish (Indo-European, Celtic)",europe,1.0,1.0,2.0
