,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21237,2,3,5,6,8,7,4,1,0,0.76479434839018,2.002696834494509,99.08258569198337,-1.0039703981449738e-15,1.1102230246251565e-16,"Arapaho (Algic, Algonquian) ",americas,real,2
21335,5,4,6,3,8,0,1,7,2,0.76479434839018,2.002696834494509,99.08258569198337,-1.0039703981449738e-15,1.1102230246251565e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21253,7,2,5,3,0,1,8,4,6,0.76479434839018,2.002696834494509,99.08258569198337,-1.0039703981449738e-15,1.1102230246251565e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21307,4,0,7,6,2,3,1,5,8,0.76479434839018,2.0026968344945093,99.08258569198337,-1.0039703981449738e-15,1.1102230246251565e-16,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21339,1,4,6,5,7,0,3,8,2,0.76479434839018,2.0026968344945093,99.08258569198337,-1.0039703981449738e-15,0.0,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21198,3,7,2,8,6,0,5,4,1,0.76479434839018,2.002696834494509,99.08258569198337,-1.0039703981449738e-15,0.0,Tuvinian (Turkic),asia,real,2
21157,0,6,3,8,2,5,1,7,4,0.76479434839018,2.002696834494509,99.08258569198337,-1.0039703981449738e-15,0.0,"Macedonian (Indo-European, Slavic)",europe,real,2
21174,5,1,4,2,6,0,7,3,8,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"German (Indo-European, Germanic)",europe,real,2
21164,6,8,1,4,5,3,7,0,2,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,Finnish (Uralic),europe,real,2
21160,5,3,6,0,7,8,4,2,1,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,Catalan,europe,real,2
21271,1,6,7,8,0,3,4,2,5,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21299,3,2,4,8,6,1,7,5,0,0.7647943483901796,2.0026968344945084,100.0,-4.263256414560601e-16,0.0,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21344,6,5,2,4,1,3,8,7,0,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21245,7,2,0,4,8,6,5,3,1,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21248,3,8,5,0,6,1,2,7,4,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21331,4,1,5,2,7,8,0,6,3,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21268,8,3,4,7,5,2,1,0,6,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,1.1102230246251565e-16,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21329,6,1,0,4,7,8,5,2,3,0.7647943483901796,2.0026968344945084,100.0,-4.263256414560601e-16,0.0,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21252,6,4,5,8,7,2,3,1,0,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21260,8,5,6,3,7,0,2,4,1,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21176,4,1,2,5,7,8,3,0,6,0.7647943483901796,2.0026968344945084,100.0,-4.263256414560601e-16,1.1102230246251565e-16,Basque,europe,real,2
21189,1,5,3,2,8,0,6,4,7,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21265,4,5,2,0,6,3,7,1,8,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21201,0,4,1,5,2,8,7,3,6,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21364,2,8,1,5,4,3,7,0,6,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,-2.220446049250313e-16,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21205,8,2,3,0,7,4,1,6,5,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,Korean (Koreanic),asia,real,2
21203,1,3,0,2,6,8,7,4,5,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21360,4,8,7,3,5,6,0,2,1,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
21215,4,2,1,8,3,6,7,5,0,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Burushaski, Yasin (Burushaski)",asia,real,2
21202,4,5,1,6,3,8,0,7,2,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21226,6,0,8,2,3,7,5,4,1,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21282,2,1,3,5,8,7,0,6,4,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21219,8,0,7,4,3,5,6,1,2,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,1.1102230246251565e-16,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21220,4,8,2,7,1,5,0,3,6,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21196,2,6,3,0,4,8,1,5,7,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,Ainu (Ainu),asia,real,2
21280,2,7,6,3,5,8,0,1,4,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21349,5,6,3,4,7,1,2,8,0,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,1.1102230246251565e-16,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21190,0,2,8,7,4,1,3,6,5,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,Turkish (Turkic),europe,real,2
21272,2,8,3,0,4,7,5,6,1,0.7647943483901796,2.002696834494509,100.0,-4.263256414560601e-16,0.0,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21264,4,7,5,1,0,6,2,8,3,0.7647943483901796,2.0026968344945084,100.0,-4.263256414560601e-16,0.0,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21211,0,5,8,6,3,7,2,4,1,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.47499806707674e-14,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21292,1,4,3,8,7,0,6,2,5,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.47499806707674e-14,"Ngizim (Afro-Asiatic, Chadic)",africa,real,2
21266,4,1,8,7,5,6,3,2,0,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.47499806707674e-14,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21340,0,3,5,8,7,2,4,1,6,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.47499806707674e-14,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21330,5,3,8,2,7,6,4,1,0,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.47499806707674e-14,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21145,0,1,2,3,4,5,6,7,8,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.47499806707674e-14,simulated,simulated,simulated,2
21347,3,2,1,7,6,8,0,4,5,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.47499806707674e-14,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21224,2,6,4,3,8,1,0,7,5,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.47499806707674e-14,Yugh (Yeniseian),asia,real,2
21356,6,5,1,2,7,8,0,3,4,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.452793606584237e-14,[OC-17]  Jingulu (Mirndi),oceania,real,2
21361,0,3,1,2,7,8,5,6,4,0.7647943483901791,2.002696834494509,47.255202992436686,-3.0072571516572443e-16,3.4861002973229915e-14,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21128,0,1,2,3,4,5,6,7,7,0.7427875294769859,1.9394888769652552,5.3025282218759155,0.015018865152815874,0.07264739849842705,simulated,simulated,simulated,3
21358,7,1,5,2,0,6,4,3,3,0.7427875294769859,1.9394888769652547,5.3025282218759155,0.01501886515281579,0.07264739849842705,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,real,3
21119,0,1,2,3,4,2,5,6,7,0.7382858190851929,1.8899667574354337,5.094928480937821,0.010505585524398647,0.07425300489400743,simulated,simulated,simulated,3
21208,7,5,6,4,2,6,0,1,3,0.7382858190851929,1.8899667574354337,5.094928480937821,0.010505585524398647,0.07425300489400743,"Bengali (Indo-European, Indo-Iranian)",asia,real,3
21273,1,4,3,6,5,3,2,7,0,0.7382858190851926,1.8899667574354335,5.094928480937821,0.01050558552439878,0.07425300489400755,"[AM-10] Comanche (Uto-Aztecan, Numic) ",americas,real,3
21217,0,4,5,3,2,5,7,6,1,0.7382858190851926,1.8899667574354335,5.094928480937821,0.01050558552439878,0.07425300489400743,"Limbu (Sino-Tibetan, Kiranti)",asia,real,3
21121,0,1,2,3,4,5,6,6,7,0.737460537122955,1.9236837660693533,5.063719571024866,0.01805761869697096,0.08707096239698442,simulated,simulated,simulated,3
21122,0,1,2,3,4,4,5,6,7,0.7316985402525313,1.9074891205552675,4.865469448226647,0.02134264162958708,0.10166441308761875,simulated,simulated,simulated,3
21125,0,1,2,3,1,4,5,6,7,0.7263271462623051,1.83808844143658,4.703794054834253,0.012785234050407067,0.09411361806092577,simulated,simulated,simulated,3
21241,6,7,3,5,7,2,1,4,0,0.7263271462623051,1.83808844143658,4.703794054834253,0.012785234050407067,0.09411361806092577,"[AM-41]  Tohono O'Odham  (Uto-Aztecan, Tepiman) ",americas,real,3
21109,0,1,2,3,4,5,6,7,6,0.720018664651366,1.9326059883171358,4.547490996651593,0.040429022382661044,0.13160902498120552,simulated,simulated,simulated,3
21336,1,5,4,6,7,3,0,2,0,0.720018664651366,1.9326059883171358,4.547490996651593,0.040429022382661044,0.1316090249812053,"Abui (Timor-Alor-Pantar, Alor) ",oceania,real,3
21132,0,1,2,3,4,5,6,7,2,0.719919965955137,1.9114004338241795,4.547490996651593,0.035864588263768434,0.13301713018114525,simulated,simulated,simulated,3
21348,7,6,4,2,3,0,1,5,0,0.7188968112568661,1.935516277973341,4.533541807646737,0.042318797119099125,0.13301053381223737,"[OC-30]  Orokaiva (Trans-New Guinea, Binanderean)",oceania,real,3
21136,0,1,2,3,4,5,6,7,5,0.7188968112568661,1.935516277973341,4.533541807646737,0.042318797119099125,0.13301053381223737,simulated,simulated,simulated,3
21362,7,4,2,3,0,1,5,6,1,0.7188968112568661,1.935516277973341,4.533541807646737,0.042318797119099125,0.13301053381223715,[OC-27]  Motuna (South Bougainville),oceania,real,3
21123,0,1,2,3,3,4,5,6,7,0.7186038054201755,1.868505631047878,4.519635407044111,0.027915510152282382,0.13383855577100467,simulated,simulated,simulated,3
